OID_,ExpectedK,ObservedK,DiffK
0,348530.1272,1043251.699,694721.5715
1,697060.2543,2010631.992,1313571.737
2,1045590.382,2792964.483,1747374.101
3,1394120.509,3369150.969,1975030.46
4,1742650.636,3792618.754,2049968.118
5,2091180.763,4141436.258,2050255.495
6,2439710.89,4386915.888,1947204.998
7,2788241.017,4569799.641,1781558.623
8,3136771.145,4738710.468,1601939.323
9,3485301.272,4825882.26,1340580.988
